title,date,location,url,attendees,tags
Yiddish Conversation Hour,"Friday, 22 May 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295723,0 going,"Open Event, Spirituality, Faith/ Religion"
Episcopal Church at Cornell ( ECC ) Evening Prayer,"Friday, 22 May 2026 At 5:30 PM, EDT (GMT-4)",Private Location ( sign in to display ),/rsvp_boot?id=2302123,0 going,"Open Event, Gaming, Free, Fun, Community, Food/Drink"
Mafia Club Weekly Meeting,"Friday, 22 May 2026 At 9:00 PM, EDT (GMT-4)",Keeton House Downstairs G40A Lounge ( near dining room ),/rsvp_boot?id=2292646,0 going,"Open Event, Spirituality"
Sunday Mass ( 9pm ),"Sunday, 24 May 2026 At 9:00 PM, EDT (GMT-4)",Sage Chapel,/rsvp_boot?id=2288025,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 28 May 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288830,0 going,Open Event
"International Scholar, Graduate, and Professional Student Coffee Hour","Friday, 29 May 2026 At 10:00 AM, EDT (GMT-4)",Big Red Barn - Greenhouse,/rsvp_boot?id=2297609,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 29 May 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295724,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 04 June 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288831,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 05 June 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295725,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 11 June 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288832,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 12 June 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295726,0 going,"Open Event, Careers"
So You Want to Go to Graduate School,"Thursday, 18 June 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2296914,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 18 June 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288833,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 19 June 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295727,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 25 June 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288834,0 going,Open Event
"International Scholar, Graduate, and Professional Student Coffee Hour","Friday, 26 June 2026 At 10:00 AM, EDT (GMT-4)",Big Red Barn - Greenhouse,/rsvp_boot?id=2297610,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 26 June 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295728,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 02 July 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288835,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 03 July 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295729,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 09 July 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288836,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 10 July 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295730,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 16 July 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288837,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 17 July 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295731,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 23 July 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288838,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 24 July 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295732,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 30 July 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288839,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 31 July 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295733,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 06 August 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288840,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 07 August 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295734,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 13 August 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288841,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 14 August 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295735,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 20 August 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288842,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 21 August 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295736,0 going,"Open Event, Dance, Education, Fitness, Body Positivity, Cultural, Free, Fun, Health and Wellness, Community, Workshop"
Free Tango Lesson and Practica,"Thursday, 27 August 2026 At 7:00 PM, EDT (GMT-4)",Atrium of Physical Sciences Building,/rsvp_boot?id=2288843,0 going,"Open Meeting, Dialogue/ Discussion, Cultural, Free, Fun, Community, Language"
Yiddish Conversation Hour,"Friday, 28 August 2026 At 12:00 PM, EDT (GMT-4)",Online Event,/rsvp_boot?id=2295737,0 going,Open Meeting
