id,osm_type,lon,lat,name,category,subcategory,address,website
1013183497,way,-76.4539554,42.4496675,,amenity,parking,,
1013183504,way,-76.4517459,42.4506781,,amenity,parking,,
1013183508,way,-76.4545088,42.4532567,,amenity,parking,,
1013183515,way,-76.4613899,42.4528069,,amenity,parking,,
1013423229,way,-76.4504163,42.4520353,,amenity,parking,,
1013554114,way,-76.447445,42.4538775,,amenity,parking,,
1021819882,way,-76.474301,42.4859441,,amenity,parking,,
1021819883,way,-76.4809103,42.482179,Monro Muffler Brake;Monro Muffler Brake & Service,shop,car_repair,2309 North Triphammer Road,https://locations.monro.com/ny/lansing/2309-north-triphammer-road.html
1023646523,way,-76.5164147,42.4230034,Speedway,amenity,fuel,366 Elmira Road,https://www.speedway.com/locations/NY/Ithaca/366-ELMIRA-RD
1033995291,way,-76.5160801,42.4375329,Ithaca Arthaus,building,apartments,130 Cherry Street,https://ithacaarthaus.com/
1067673175,way,-76.556881,42.3960638,,leisure,playground,,
1095954491,way,-76.4900019,42.444259,,amenity,parking,,
1096075883,way,-76.5027398,42.4717793,LSC Heat Exchange Facility,building,yes,983 East Shore Drive,
1100918015,way,-76.4849914,42.4423513,The Student Agencies Building,building,apartments,409 College Avenue,
1100918016,way,-76.4849752,42.4424796,Ithaca Beer Company,leisure,outdoor_seating,,
1102936469,way,-76.5127363,42.4453778,,amenity,parking,,
1103354784,way,-76.6019229,42.5477295,,amenity,toilets,,
1103707601,way,-76.4977641,42.4389202,Asteri Apartments,building,apartments,,
1103987663,way,-76.5133104,42.4404138,Citgo,amenity,fuel,805 West Buffalo Street,
1105555743,way,-76.5114637,42.4448789,,amenity,parking,,
1105590161,way,-76.5138171,42.441401,Brindley Park,leisure,park,,
1105644266,way,-76.5200105,42.4190373,KFC,amenity,fast_food,401 Elmira Road,https://locations.kfc.com/ny/ithaca/401-elmira-rd
1106711659,way,-76.4813736,42.4540372,,amenity,parking,,
1106713124,way,-76.4775622,42.4563472,,amenity,parking,,
1106739074,way,-76.525379,42.4520074,,leisure,pitch,,
1107030765,way,-76.5235124,42.4540033,,leisure,swimming_pool,,
1107030766,way,-76.5234719,42.4536789,,leisure,swimming_pool,,
1107673464,way,-76.5120165,42.4303983,,amenity,parking,,
1107673465,way,-76.5128959,42.4299326,,amenity,parking,,
1107822978,way,-76.5139013,42.426423,,amenity,parking,,
1111182872,way,-76.5162377,42.5210475,,amenity,parking,,
1111185542,way,-76.5033399,42.471368,,amenity,parking,,
1111186729,way,-76.5017859,42.4631261,,amenity,parking,,
1111186730,way,-76.5056886,42.4610336,,amenity,parking,,
1111186731,way,-76.5074271,42.4606503,,amenity,parking,,
1111187142,way,-76.4991513,42.4610093,,amenity,parking,,
1112086011,way,-76.5608737,42.3971145,Lower Falls Swimming Area,leisure,swimming_area,,
1112139898,way,-76.4678519,42.474452,,leisure,swimming_pool,,
1112354938,way,-76.4836693,42.4516542,Kiln Shed,building,university,936 University Avenue,
1112773968,way,-76.4974462,42.4578049,,amenity,school,,
1113180384,way,-76.5027685,42.4620731,,amenity,shelter,,
1113180385,way,-76.5029685,42.4616785,,leisure,pitch,,
1113180386,way,-76.5034911,42.4616147,,leisure,pitch,,
1113458115,way,-76.5009427,42.448834,,leisure,playground,,
1115623931,way,-76.5355122,42.4659874,,amenity,parking,,
1115781242,way,-76.4807311,42.4489038,,amenity,parking,,
1115781243,way,-76.4816613,42.4491671,,amenity,parking,,
1115781244,way,-76.4800678,42.4479034,Malott Hall,building,university,212 Garden Avenue,
1117949087,way,-76.5002826,42.5385611,Salt Point Brewing,amenity,pub,6 Louise Bement Lane,https://www.saltpointbrewing.com/
1117958735,way,-76.5210541,42.4192463,Visions Federal Credit Union,amenity,bank,408 Elmira Road,
1118096077,way,-76.5178826,42.4218798,,amenity,parking,,
1118111008,way,-76.458306,42.4428154,,amenity,parking,,
1118111010,way,-76.4586075,42.4424295,,amenity,parking,,
1118498201,way,-76.5030694,42.5180729,Community Recreation Center,leisure,sports_centre,1767 East Shore Drive,https://crcithaca.com/
1118675684,way,-76.4811136,42.4505124,,amenity,parking,,
1118775053,way,-76.497999,42.404901,,amenity,parking,,
1118775082,way,-76.5137935,42.4018726,,amenity,parking,,
1118904106,way,-76.4056274,42.477102,Campbell meadows,amenity,parking,,
1119079079,way,-76.5210115,42.416917,,amenity,toilets,,
1119400451,way,-76.466842,42.4327266,,leisure,pitch,,
1119717431,way,-76.4731,42.4375277,French Lavender,shop,florist,903 Mitchell Street,
1119776232,way,-76.4806277,42.4484233,,amenity,parking,,
