id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
trail_296964590,Trail,-76.4495596,42.4130317,Wiedmaier Court,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/296964590
trail_315988370,Trail,-76.4935905,42.4431084,Cascadilla Gorge Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/315988370
trail_317311764,Trail,-76.5909839,42.4003033,CCC Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/317311764
trail_321385157,Trail,-76.4929446,42.4175708,Gold Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/321385157
trail_387449902,Trail,-76.6806247,42.3844884,Red Marker Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/387449902
trail_404099115,Trail,-76.4875095,42.445121,West Avenue,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: paved.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/404099115
trail_423939443,Trail,-76.4414278,42.2697754,Pond Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface. Scale: hiking.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/423939443
trail_423943587,Trail,-76.4417735,42.2704486,Log Country Inn B&B of Ithaca Trails Lower Entrance,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface. Scale: hiking.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/423943587
trail_424007674,Trail,-76.4436881,42.2706591,Main Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/424007674
trail_424007676,Trail,-76.4441484,42.2707731,Log Country Inn B&B of Ithaca Trails Upper Entrance,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/424007676
